var_base,table,worker_type,sex,row_number,occupation_label,occupation_level,is_median_earnings_row
S2411_C02_025,S2411,All civilian workers,Male,025,Personal care and service occupations,Subtotal,True
S2411_C02_026,S2411,All civilian workers,Male,026,Sales and office occupations,Subtotal,True
S2411_C02_027,S2411,All civilian workers,Male,027,Sales and related occupations,Subtotal,True
S2411_C02_028,S2411,All civilian workers,Male,028,Office and administrative support occupations,Subtotal,True
S2411_C02_029,S2411,All civilian workers,Male,029,"Natural resources, construction, and maintenance occupations",Subtotal,True
S2411_C02_030,S2411,All civilian workers,Male,030,"Farming, fishing, and forestry occupations",Subtotal,True
S2411_C02_031,S2411,All civilian workers,Male,031,Construction and extraction occupations,Subtotal,True
S2411_C02_032,S2411,All civilian workers,Male,032,"Installation, maintenance, and repair occupations",Subtotal,True
S2411_C02_033,S2411,All civilian workers,Male,033,"Production, transportation, and material moving occupations",Subtotal,True
S2411_C02_034,S2411,All civilian workers,Male,034,Production occupations,Subtotal,True
S2411_C02_035,S2411,All civilian workers,Male,035,Transportation occupations,Subtotal,True
S2411_C02_036,S2411,All civilian workers,Male,036,Material moving occupations,Subtotal,True
S2411_C03_001,S2411,All civilian workers,Female,001,Civilian employed population 16 years and over with earnings,Total,True
S2411_C03_002,S2411,All civilian workers,Female,002,"Management, business, science, and arts occupations",Subtotal,True
S2411_C03_003,S2411,All civilian workers,Female,003,"Management, business, and financial occupations",Subtotal,True
S2411_C03_004,S2411,All civilian workers,Female,004,Management occupations,Detail,True
S2411_C03_005,S2411,All civilian workers,Female,005,Business and financial operations occupations,Detail,True
S2411_C03_006,S2411,All civilian workers,Female,006,"Computer, engineering, and science occupations",Subtotal,True
S2411_C03_007,S2411,All civilian workers,Female,007,Computer and mathematical occupations,Detail,True
S2411_C03_008,S2411,All civilian workers,Female,008,Architecture and engineering occupations,Detail,True
S2411_C03_009,S2411,All civilian workers,Female,009,"Life, physical, and social science occupations",Detail,True
S2411_C03_010,S2411,All civilian workers,Female,010,"Education, legal, community service, arts, and media occupations",Subtotal,True
S2411_C03_011,S2411,All civilian workers,Female,011,Community and social service occupations,Detail,True
S2411_C03_012,S2411,All civilian workers,Female,012,Legal occupations,Detail,True
S2411_C03_013,S2411,All civilian workers,Female,013,"Educational instruction, and library occupations",Detail,True
S2411_C03_014,S2411,All civilian workers,Female,014,"Arts, design, entertainment, sports, and media occupations",Detail,True
S2411_C03_015,S2411,All civilian workers,Female,015,Healthcare practitioners and technical occupations,Subtotal,True
S2411_C03_016,S2411,All civilian workers,Female,016,Health diagnosing and treating practitioners and other technical occupations,Detail,True
S2411_C03_017,S2411,All civilian workers,Female,017,Health technologists and technicians,Detail,True
S2411_C03_018,S2411,All civilian workers,Female,018,Service occupations,Subtotal,True
S2411_C03_019,S2411,All civilian workers,Female,019,Healthcare support occupations,Subtotal,True
S2411_C03_020,S2411,All civilian workers,Female,020,Protective service occupations,Subtotal,True
S2411_C03_021,S2411,All civilian workers,Female,021,"Firefighting and prevention, and other protective service workers including supervisors",Detail,True
S2411_C03_022,S2411,All civilian workers,Female,022,Law enforcement workers including supervisors,Detail,True
S2411_C03_023,S2411,All civilian workers,Female,023,Food preparation and serving related occupations,Subtotal,True
S2411_C03_024,S2411,All civilian workers,Female,024,Building and grounds cleaning and maintenance occupations,Subtotal,True
S2411_C03_025,S2411,All civilian workers,Female,025,Personal care and service occupations,Subtotal,True
S2411_C03_026,S2411,All civilian workers,Female,026,Sales and office occupations,Subtotal,True
S2411_C03_027,S2411,All civilian workers,Female,027,Sales and related occupations,Subtotal,True
S2411_C03_028,S2411,All civilian workers,Female,028,Office and administrative support occupations,Subtotal,True
S2411_C03_029,S2411,All civilian workers,Female,029,"Natural resources, construction, and maintenance occupations",Subtotal,True
S2411_C03_030,S2411,All civilian workers,Female,030,"Farming, fishing, and forestry occupations",Subtotal,True
S2411_C03_031,S2411,All civilian workers,Female,031,Construction and extraction occupations,Subtotal,True
S2411_C03_032,S2411,All civilian workers,Female,032,"Installation, maintenance, and repair occupations",Subtotal,True
S2411_C03_033,S2411,All civilian workers,Female,033,"Production, transportation, and material moving occupations",Subtotal,True
